filename,n vertices,n edges,time[s]
graf_15_6.txt,15,45,60.2653
14-3.txt,14,21,0.011307
14-4.txt,14,28,0.0832554
14-5.txt,14,35,3.8112
14-6.txt,14,42,32.2203
14-7.txt,14,49,82.0455
13-3.txt,13,19,0.0255653
13-4.txt,13,26,0.133191
13-5.txt,13,32,0.306191
13-6.txt,13,39,8.4294
12-3.txt,12,18,0.00653624
12-4.txt,12,24,0.140812
12-5.txt,12,30,1.09295
12-6.txt,12,36,12.1707
15-3.txt,15,22,0.0609684
15-4.txt,15,30,0.912863
15-5.txt,15,37,13.9652
15-6.txt,15,45,156.269
16-3.txt,16,24,0.0249617
16-4.txt,16,32,2.09754
16-5.txt,16,40,92.3729
16-6.txt,16,48,408.183
17-3.txt,17,25,0.0468183
17-4.txt,17,34,1.55522
17-5.txt,17,42,12.7717
18-3.txt,18,27,0.213911
18-4.txt,18,36,2.72464
19-3.txt,19,28,0.321008
19-4.txt,19,38,9.68612
19-5.txt,19,47,122.705
20-3.txt,20,30,1.06171
18-5.txt,18,45,285.671
20-4.txt,20,40,13.4866
21-3.txt,21,31,1.17716
21-4.txt,21,42,22.8498
20-5.txt,20,50,272.521
22-3.txt,22,33,3.57963
22-4.txt,22,44,78.8991
23-3.txt,23,34,1.72233
23-4.txt,23,46,222.843
24-3.txt,24,36,113.275
25-3.txt,25,37,5.76698
25-4.txt,25,50,278.655
26-3.txt,26,39,30.8955
27-3.txt,27,40,1.80647
28-3.txt,28,42,102.098
29-3.txt,29,43,6.95045
30-3.txt,30,45,144.999
31-3.txt,31,46,35.5841
32-3.txt,32,48,284.669
33-3.txt,33,49,214.699
40-3.txt,40,60,548.865
