filename,n vertices,n edges,sequential ratio,n threads,time[s]
40-3.txt,40,60,0.5,4,425.727
40-3.txt,40,60,0.5,6,310.519
40-3.txt,40,60,0.5,8,272.164
40-3.txt,40,60,0.5,12,214.525
40-3.txt,40,60,0.5,16,163.011
40-3.txt,40,60,0.5,20,148.724
16-6.txt,16,48,0.5,1,500.514
16-6.txt,16,48,0.5,4,358.296
16-6.txt,16,48,0.5,6,254.566
16-6.txt,16,48,0.5,8,213.56
16-6.txt,16,48,0.5,10,193.646
16-6.txt,16,48,0.5,12,179.121
16-6.txt,16,48,0.5,16,167.958
16-6.txt,16,48,0.5,20,175.018
18-5.txt,18,45,0.5,1,349.827
18-5.txt,18,45,0.5,2,551.18
18-5.txt,18,45,0.5,4,244.158
18-5.txt,18,45,0.5,6,167.389
18-5.txt,18,45,0.5,8,149.538
18-5.txt,18,45,0.5,12,128.158
18-5.txt,18,45,0.5,16,117.893
18-5.txt,18,45,0.5,20,119.708
25-4.txt,25,50,0.5,1,344.333
25-4.txt,25,50,0.5,2,387.273
25-4.txt,25,50,0.5,4,169.182
25-4.txt,25,50,0.5,6,110.488
25-4.txt,25,50,0.5,8,100.621
25-4.txt,25,50,0.5,12,66.1808
25-4.txt,25,50,0.5,16,62.5603
25-4.txt,25,50,0.5,20,67.0004
